id,car,color
87,Saturn,Crimson
88,Toyota,Mauv
89,Maybach,Violet
90,Chevrolet,Turquoise
91,Mercury,Maroon
92,Mercedes-Benz,Aquamarine
93,Oldsmobile,Puce
94,Chevrolet,Mauv
95,Ford,Crimson
96,Toyota,Mauv
97,Audi,Teal
98,Chrysler,Aquamarine
99,Honda,Maroon
100,Dodge,Violet
101,Kia,Blue
102,Chevrolet,Orange
103,Kia,Purple
104,Kia,Mauv
105,Subaru,Puce
106,Dodge,Puce
107,Honda,Aquamarine
108,Ford,Khaki
109,Kia,Purple
110,Jeep,Crimson
111,Cadillac,Red
112,Dodge,Green
113,Honda,Pink
114,Dodge,Yellow
115,Lexus,Turquoise
116,Ford,Violet
117,Pontiac,Violet
118,Pontiac,Goldenrod
119,Aston Martin,Khaki
120,Dodge,Maroon
121,Isuzu,Goldenrod
122,Bentley,Puce
123,Ford,Pink
124,Dodge,Violet
125,Pontiac,Purple
126,Pontiac,Maroon
127,Dodge,Turquoise
128,Chevrolet,Maroon
129,Land Rover,Aquamarine
130,Hyundai,Red
131,Dodge,Purple
132,Audi,Goldenrod
133,Lotus,Mauv
134,Audi,Goldenrod
135,Mitsubishi,Pink
136,BMW,Blue
137,Mercedes-Benz,Crimson
138,Audi,Aquamarine
139,Pontiac,Yellow
140,GMC,Orange
141,Nissan,Aquamarine
142,Volvo,Teal
143,Mercedes-Benz,Khaki
144,Nissan,Green
145,Dodge,Violet
146,Mercedes-Benz,Orange
147,Infiniti,Maroon
148,Lexus,Teal
149,Geo,Khaki
150,Mitsubishi,Puce
151,Buick,Turquoise
152,Toyota,Red
153,Volkswagen,Pink
154,Mitsubishi,Puce
155,BMW,Khaki
156,Buick,Crimson
157,Mercedes-Benz,Teal
158,Dodge,Yellow
159,Dodge,Goldenrod
160,Ford,Yellow
161,Dodge,Yellow
162,Volkswagen,Maroon
163,Chrysler,Yellow
164,Maybach,Yellow
165,Maserati,Crimson
166,Pontiac,Fuscia
167,Volvo,Indigo
168,Ford,Fuscia
169,Saab,Fuscia
170,Volkswagen,Mauv
171,Mazda,Yellow
172,Toyota,Blue
173,Buick,Turquoise
174,Ford,Crimson
175,Mazda,Green
176,Dodge,Red
177,Volkswagen,Green
178,GMC,Maroon
179,Honda,Violet
180,Buick,Mauv
181,Maserati,Teal
182,Mazda,Maroon
183,Land Rover,Goldenrod
184,Nissan,Violet
185,Mercedes-Benz,Violet
186,Cadillac,Blue
187,Buick,Blue
188,Plymouth,Teal
189,Maybach,Purple
190,Saturn,Mauv
191,Dodge,Goldenrod
192,Mazda,Pink
193,Acura,Indigo
194,Ford,Violet
195,Mitsubishi,Fuscia
196,Saab,Goldenrod
197,Toyota,Aquamarine
198,Buick,Teal
199,Dodge,Crimson
200,BMW,Goldenrod
201,Chevrolet,Red
202,Mitsubishi,Teal
203,GMC,Violet
204,Ford,Mauv
205,Pontiac,Fuscia
206,Acura,Pink
207,Mercury,Purple
208,Chevrolet,Goldenrod
209,GMC,Blue
210,Honda,Purple
211,Mazda,Green
212,BMW,Pink
213,Chrysler,Khaki
214,Ram,Teal
215,Hyundai,Indigo
216,Mitsubishi,Turquoise
217,Mitsubishi,Violet
218,Pontiac,Pink
219,GMC,Khaki
220,Cadillac,Goldenrod
221,Ford,Fuscia
222,Infiniti,Blue
223,Dodge,Fuscia
224,Chevrolet,Orange
225,Volkswagen,Orange
226,Mitsubishi,Indigo
227,Honda,Fuscia
228,Ford,Khaki
229,Acura,Khaki
230,GMC,Teal
231,Volkswagen,Teal
232,Infiniti,Maroon
233,Plymouth,Yellow
234,Mercedes-Benz,Goldenrod
235,Jeep,Blue
236,Chevrolet,Red
237,Toyota,Red
238,Toyota,Teal
239,Dodge,Yellow
240,Ford,Khaki
241,Chevrolet,Pink
242,GMC,Goldenrod
243,Toyota,Red
244,Oldsmobile,Yellow
245,Dodge,Maroon
246,Lincoln,Pink
247,Mitsubishi,Red
248,Mercury,Mauv
249,Ford,Aquamarine
250,Subaru,Indigo
251,GMC,Khaki
252,Honda,Red
253,Chevrolet,Violet
254,BMW,Turquoise
255,Porsche,Orange
256,Plymouth,Purple
257,Volkswagen,Aquamarine
258,Buick,Teal
259,Chevrolet,Teal
260,Acura,Mauv
261,Chevrolet,Mauv
262,BMW,Green
263,Plymouth,Violet
264,Mitsubishi,Crimson
265,Land Rover,Indigo
266,Subaru,Purple
267,Lexus,Blue
268,Mercedes-Benz,Mauv
269,GMC,Fuscia
270,Geo,Puce
271,Volkswagen,Puce
272,Lexus,Maroon
273,Chevrolet,Aquamarine
274,Ford,Fuscia
275,Acura,Red
276,Hyundai,Indigo
277,Toyota,Blue
278,Kia,Yellow
279,Ford,Maroon
280,Subaru,Crimson
281,Honda,Purple
282,Infiniti,Puce
283,Mitsubishi,Red
284,BMW,Violet
285,Mercury,Khaki
286,Hyundai,Orange
287,Hyundai,Khaki
288,Land Rover,Red
289,Buick,Teal
290,Audi,Turquoise
291,Kia,Green
292,Mercedes-Benz,Indigo
293,Toyota,Blue
294,Mercury,Green
295,Ford,Yellow
296,Ford,Green
297,Dodge,Pink
298,Dodge,Purple
299,Volvo,Pink
300,Ford,Pink
301,Ford,Pink
302,Honda,Yellow
303,GMC,Aquamarine
304,Dodge,Pink
305,Mazda,Blue
306,Porsche,Indigo
307,Honda,Crimson
308,Mitsubishi,Yellow
309,Dodge,Red
310,Infiniti,Red
311,Cadillac,Goldenrod
312,Nissan,Khaki
313,Dodge,Khaki
314,Cadillac,Turquoise
315,Eagle,Yellow
316,Cadillac,Puce
317,Ford,Indigo
318,Buick,Turquoise
319,Volvo,Maroon
320,Honda,Red
321,Chevrolet,Goldenrod
322,Mazda,Indigo
323,BMW,Turquoise
324,Mercedes-Benz,Mauv
325,Lexus,Crimson
326,Aston Martin,Mauv
327,Chevrolet,Blue
328,Suzuki,Maroon
329,Audi,Violet
330,Chevrolet,Khaki
331,Lexus,Red
332,Toyota,Turquoise
333,Saab,Purple
334,Jaguar,Purple
335,Dodge,Purple
336,Land Rover,Indigo
337,Mitsubishi,Crimson
338,Chevrolet,Red
339,GMC,Purple
340,Lotus,Pink
341,Saab,Crimson
342,Chrysler,Purple
343,BMW,Red
344,Dodge,Blue
345,Ford,Teal
346,Chrysler,Crimson
347,Chevrolet,Orange
348,Dodge,Mauv
349,Mazda,Pink
350,Mitsubishi,Blue
351,GMC,Maroon
352,Toyota,Purple
353,Mitsubishi,Aquamarine
354,Dodge,Maroon
355,Lamborghini,Goldenrod
356,Ford,Puce
357,Mercedes-Benz,Goldenrod
358,Honda,Orange
359,Infiniti,Violet
360,Lamborghini,Teal
361,Suzuki,Yellow
362,Chevrolet,Orange
363,Toyota,Pink
364,Buick,Mauv
365,Pontiac,Purple
366,BMW,Turquoise
367,Toyota,Crimson
368,Nissan,Goldenrod
369,Lexus,Red
370,Ferrari,Green
371,Mercury,Green
372,Toyota,Puce
373,Mazda,Khaki
374,Toyota,Goldenrod
375,Cadillac,Red
376,Audi,Indigo
377,Mazda,Purple
378,Suzuki,Aquamarine
379,Oldsmobile,Orange
380,Ford,Green
381,Mercury,Crimson
382,Chevrolet,Indigo
383,Chrysler,Fuscia
384,Pontiac,Pink
385,Ford,Turquoise
386,Mercury,Khaki
387,Honda,Orange
388,Acura,Orange
389,GMC,Red
390,Toyota,Yellow
391,Dodge,Pink
392,Chevrolet,Purple
393,Nissan,Yellow
394,Kia,Purple
395,Audi,Indigo
396,Ferrari,Yellow
397,Volkswagen,Blue
398,Geo,Goldenrod
399,Mitsubishi,Khaki
400,Pontiac,Red
401,GMC,Violet
402,Audi,Blue
403,Subaru,Crimson
404,Chevrolet,Yellow
405,Chevrolet,Indigo
406,Volkswagen,Blue
407,Mazda,Blue
408,Bentley,Blue
409,Subaru,Crimson
410,Honda,Turquoise
411,Mazda,Khaki
412,Subaru,Teal
413,Land Rover,Red
414,Subaru,Orange
415,Buick,Orange
416,Honda,Pink
417,Lincoln,Violet
418,Buick,Red
419,Buick,Yellow
420,Land Rover,Violet
421,Toyota,Orange
422,Nissan,Green
423,Maybach,Indigo
424,Daewoo,Yellow
425,Toyota,Green
426,Mitsubishi,Fuscia
427,Acura,Pink
428,Suzuki,Green
429,Lamborghini,Teal
430,Jeep,Violet
431,Buick,Khaki
432,Pontiac,Yellow
433,Nissan,Red
434,Dodge,Teal
435,Chevrolet,Violet
436,GMC,Fuscia
437,Audi,Teal
438,BMW,Teal
439,Chevrolet,Crimson
440,Suzuki,Mauv
441,Nissan,Violet
442,Mercedes-Benz,Maroon
443,Infiniti,Fuscia
444,GMC,Mauv
445,Dodge,Aquamarine
446,Toyota,Mauv
447,Subaru,Fuscia
448,Toyota,Crimson
449,Ford,Aquamarine
450,Chevrolet,Indigo
451,Jaguar,Orange
452,Mazda,Mauv
453,GMC,Blue
454,Chevrolet,Fuscia
455,Nissan,Khaki
456,Volvo,Goldenrod
457,Dodge,Purple
458,Land Rover,Green
459,Jeep,Crimson
460,Hyundai,Khaki
461,Mercedes-Benz,Mauv
462,Oldsmobile,Khaki
463,Chevrolet,Pink
464,Bentley,Blue
465,Volkswagen,Indigo
466,Mercedes-Benz,Crimson
467,Mitsubishi,Red
468,Lincoln,Crimson
469,Lexus,Turquoise
470,Porsche,Crimson
471,Mitsubishi,Fuscia
472,Ford,Turquoise
473,Ford,Yellow
474,Dodge,Orange
475,Toyota,Goldenrod
476,Lexus,Violet
477,Nissan,Crimson
478,Mazda,Indigo
479,Ford,Teal
480,Isuzu,Teal
481,Dodge,Yellow
482,Chevrolet,Green
483,Land Rover,Maroon
484,Mitsubishi,Goldenrod
485,BMW,Mauv
486,Porsche,Mauv
487,Ford,Indigo
488,Toyota,Crimson
489,Hyundai,Yellow
490,Mazda,Maroon
491,Honda,Blue
492,MINI,Teal
493,Lincoln,Goldenrod
494,Cadillac,Maroon
495,Chevrolet,Yellow
496,Mercedes-Benz,Mauv
497,Mitsubishi,Maroon
498,Hyundai,Khaki
499,Subaru,Fuscia
500,Honda,Violet
501,Lamborghini,Teal
502,Maybach,Pink
503,Chevrolet,Turquoise
504,Nissan,Green
505,GMC,Indigo
506,Dodge,Red
507,Honda,Pink
508,Nissan,Purple
509,Chevrolet,Puce
510,Hyundai,Yellow
511,Isuzu,Khaki
512,Cadillac,Turquoise
513,Mitsubishi,Maroon
514,Chevrolet,Green
515,Ford,Red
516,Chevrolet,Orange
517,Nissan,Fuscia
518,BMW,Goldenrod
519,Infiniti,Violet
520,Ford,Green
521,Volvo,Khaki
522,Toyota,Goldenrod
523,Nissan,Mauv
524,Suzuki,Red
525,Volkswagen,Pink
526,Ford,Green
527,Volkswagen,Crimson
528,Porsche,Red
529,Mazda,Red
530,Land Rover,Indigo
531,Aston Martin,Maroon
532,Saab,Blue
533,Land Rover,Blue
534,Audi,Mauv
535,Chrysler,Violet
536,Hyundai,Aquamarine
537,Mercury,Violet
538,Subaru,Green
539,Chrysler,Maroon
540,Lincoln,Turquoise
541,Lincoln,Indigo
542,Buick,Teal
543,Lexus,Khaki
544,Kia,Red
545,BMW,Blue
546,Lexus,Green
547,Toyota,Teal
548,Subaru,Mauv
549,Suzuki,Green
550,Volkswagen,Green
551,Jaguar,Purple
552,Hyundai,Mauv
553,Jeep,Maroon
554,GMC,Fuscia
555,Cadillac,Mauv
556,Ford,Teal
557,Scion,Aquamarine
558,Mitsubishi,Puce
559,BMW,Red
560,Audi,Violet
561,Hummer,Blue
562,Audi,Indigo
563,Hyundai,Teal
564,Jaguar,Khaki
565,Toyota,Khaki
566,Suzuki,Green
567,Cadillac,Green
568,BMW,Goldenrod
569,Alfa Romeo,Yellow
570,Buick,Purple
571,Ford,Teal
572,Ford,Blue
573,GMC,Fuscia
574,Ford,Turquoise
575,Infiniti,Maroon
576,Pontiac,Teal
577,Mercedes-Benz,Orange
578,Audi,Khaki
579,BMW,Red
580,Ford,Crimson
581,Honda,Blue
582,Mercury,Turquoise
583,Subaru,Turquoise
584,Ford,Yellow
585,Hummer,Indigo
586,Ford,Yellow
587,Oldsmobile,Orange
588,Mitsubishi,Blue
589,Mercedes-Benz,Goldenrod
590,Mitsubishi,Violet
591,GMC,Goldenrod
592,Ford,Orange
593,Mitsubishi,Yellow
594,Volkswagen,Crimson
595,Chevrolet,Orange
596,Suzuki,Teal
597,Jaguar,Maroon
598,Toyota,Pink
599,Honda,Violet
600,Buick,Pink
601,Ford,Puce
602,Cadillac,Purple
603,Buick,Aquamarine
604,Chevrolet,Purple
605,Lexus,Green
606,Cadillac,Crimson
607,Mercedes-Benz,Khaki
608,Mercedes-Benz,Blue
609,BMW,Goldenrod
610,Lincoln,Turquoise
611,GMC,Yellow
612,Nissan,Purple
613,MINI,Khaki
614,Pontiac,Mauv
615,Dodge,Teal
616,Kia,Puce
617,Saab,Pink
618,Mercedes-Benz,Fuscia
619,Mitsubishi,Orange
620,Lincoln,Goldenrod
621,Toyota,Red
622,Land Rover,Aquamarine
623,Ford,Indigo
624,Chevrolet,Indigo
625,Chrysler,Teal
626,Mitsubishi,Maroon
627,Toyota,Khaki
628,Buick,Green
629,Ford,Aquamarine
630,Ford,Red
631,Ford,Maroon
632,Dodge,Khaki
633,Buick,Violet
634,BMW,Blue
635,Toyota,Indigo
636,Mercedes-Benz,Red
637,Ford,Purple
638,Chevrolet,Crimson
639,Mitsubishi,Pink
640,Dodge,Violet
641,Cadillac,Khaki
642,Hyundai,Maroon
643,Pontiac,Purple
644,Chevrolet,Turquoise
645,Mercury,Violet
646,Kia,Maroon
647,Lamborghini,Pink
648,Toyota,Orange
649,Ferrari,Puce
650,Mitsubishi,Red
651,MINI,Turquoise
652,Mazda,Turquoise
653,Plymouth,Maroon
654,Chevrolet,Fuscia
655,Mazda,Puce
656,Pontiac,Teal
657,Mercury,Orange
658,Dodge,Fuscia
659,BMW,Maroon
660,Chevrolet,Maroon
661,Volkswagen,Fuscia
662,BMW,Red
663,Porsche,Aquamarine
664,Citroën,Crimson
665,Volkswagen,Mauv
666,GMC,Mauv
667,Mercedes-Benz,Blue
668,Oldsmobile,Green
669,Land Rover,Aquamarine
670,Buick,Fuscia
671,Oldsmobile,Mauv
672,Mitsubishi,Aquamarine
673,Mitsubishi,Green
674,Volvo,Turquoise
675,Ford,Mauv
676,Volkswagen,Purple
677,Volkswagen,Crimson
678,Chevrolet,Khaki
679,Hyundai,Fuscia
680,BMW,Puce
681,Chevrolet,Pink
682,Toyota,Goldenrod
683,Lincoln,Aquamarine
684,Dodge,Maroon
685,Acura,Goldenrod
686,Audi,Goldenrod
687,Chevrolet,Fuscia
688,Dodge,Mauv
689,Ford,Green
690,Lincoln,Purple
691,Ford,Mauv
692,Mazda,Orange
693,Plymouth,Turquoise
694,Cadillac,Pink
695,Chevrolet,Orange
696,Ford,Teal
697,Ford,Purple
698,Audi,Khaki
699,Volkswagen,Violet
700,Pontiac,Turquoise
701,Isuzu,Maroon
702,Mazda,Red
703,Toyota,Goldenrod
704,Volkswagen,Puce
705,Lexus,Pink
706,Ford,Fuscia
707,GMC,Yellow
708,Kia,Blue
709,Ford,Mauv
710,Toyota,Turquoise
711,Toyota,Green
712,Mercedes-Benz,Yellow
713,Saab,Red
714,Chevrolet,Red
715,Pontiac,Goldenrod
716,Honda,Khaki
717,Ford,Khaki
718,Acura,Pink
719,Infiniti,Mauv
720,Honda,Indigo
721,Honda,Violet
722,Maybach,Aquamarine
723,Ford,Red
724,Nissan,Khaki
725,Hyundai,Puce
726,Volvo,Mauv
727,Dodge,Goldenrod
728,Toyota,Goldenrod
729,Buick,Aquamarine
730,Buick,Red
731,GMC,Yellow
732,Chevrolet,Khaki
733,Ferrari,Purple
734,Lexus,Yellow
735,Honda,Yellow
736,Ford,Maroon
737,Plymouth,Pink
738,GMC,Red
739,Dodge,Teal
740,Ford,Green
741,Toyota,Yellow
742,Lexus,Turquoise
743,Dodge,Crimson
744,Mercury,Purple
745,GMC,Teal
746,Pontiac,Yellow
747,Nissan,Goldenrod
748,Audi,Purple
749,BMW,Violet
750,Chevrolet,Crimson
751,Isuzu,Fuscia
752,Mercedes-Benz,Teal
753,Lexus,Red
754,Ford,Fuscia
755,Nissan,Crimson
756,Chevrolet,Teal
757,Oldsmobile,Purple
758,Chevrolet,Puce
759,Nissan,Puce
760,GMC,Green
761,Pontiac,Goldenrod
762,Volvo,Maroon
763,Mercedes-Benz,Yellow
764,Lexus,Yellow
765,Dodge,Khaki
766,Toyota,Turquoise
767,Chevrolet,Blue
768,Acura,Violet
769,Ford,Fuscia
770,Porsche,Indigo
771,Audi,Goldenrod
772,Mercedes-Benz,Red
773,Volkswagen,Mauv
774,Chevrolet,Goldenrod
775,Mercedes-Benz,Pink
776,Kia,Aquamarine
777,Buick,Pink
778,Mercedes-Benz,Red
779,Saab,Maroon
780,Mercedes-Benz,Crimson
781,Lexus,Purple
782,Dodge,Violet
783,Pontiac,Teal
784,Subaru,Orange
785,Mercedes-Benz,Turquoise
786,Chevrolet,Purple
787,Land Rover,Orange
788,Chrysler,Teal
789,Land Rover,Crimson
790,GMC,Pink
791,Ford,Teal
792,Ram,Green
793,Ford,Goldenrod
794,Ford,Maroon
795,Audi,Blue
796,Mitsubishi,Orange
797,Jaguar,Pink
798,Pontiac,Goldenrod
799,Mercedes-Benz,Pink
800,Nissan,Turquoise
801,Oldsmobile,Teal
802,Audi,Teal
803,Toyota,Pink
804,Volkswagen,Turquoise
805,Subaru,Green
806,Honda,Crimson
807,Nissan,Aquamarine
808,Toyota,Crimson
809,Chrysler,Khaki
810,Jaguar,Yellow
811,Infiniti,Green
812,Nissan,Orange
813,Pontiac,Goldenrod
814,Cadillac,Green
815,BMW,Indigo
816,Ford,Mauv
817,Eagle,Indigo
818,BMW,Red
819,Subaru,Aquamarine
820,Jeep,Orange
821,Mitsubishi,Blue
822,Lexus,Mauv
823,Pontiac,Green
824,Kia,Teal
825,BMW,Red
826,Dodge,Orange
827,Dodge,Orange
828,Pontiac,Maroon
829,Chevrolet,Goldenrod
830,Ford,Yellow
831,Isuzu,Blue
832,Pontiac,Violet
833,Mercedes-Benz,Aquamarine
834,Suzuki,Yellow
835,Honda,Purple
836,Cadillac,Maroon
837,Porsche,Purple
838,Ford,Goldenrod
839,Ford,Violet
840,Hyundai,Purple
841,Honda,Goldenrod
842,Hummer,Crimson
843,Dodge,Khaki
844,Audi,Turquoise
845,Chevrolet,Purple
846,Chrysler,Fuscia
847,Chevrolet,Orange
848,Mercury,Maroon
849,Buick,Mauv
850,Audi,Teal
851,Audi,Aquamarine
852,Toyota,Yellow
853,Toyota,Teal
854,Hyundai,Violet
855,Audi,Teal
856,Porsche,Khaki
857,Mitsubishi,Khaki
858,Ford,Red
859,Dodge,Aquamarine
860,Mercedes-Benz,Fuscia
861,Oldsmobile,Teal
862,Dodge,Puce
863,BMW,Teal
864,Toyota,Puce
865,Mitsubishi,Violet
866,Toyota,Violet
867,Lexus,Goldenrod
868,Ford,Violet
869,Buick,Goldenrod
870,Ford,Indigo
871,Mazda,Crimson
872,Oldsmobile,Purple
873,Jeep,Puce
874,Ford,Crimson
875,Toyota,Maroon
876,Volkswagen,Indigo
877,Hyundai,Violet
878,Audi,Purple
879,Chevrolet,Yellow
880,Lexus,Indigo
881,Chevrolet,Turquoise
882,Mazda,Red
883,Hyundai,Puce
884,Cadillac,Maroon
885,Hyundai,Indigo
886,Mercury,Puce
887,Chrysler,Red
888,Mazda,Maroon
889,BMW,Red
890,Maserati,Mauv
891,Ford,Aquamarine
892,Acura,Turquoise
893,Volvo,Indigo
894,Pontiac,Mauv
895,Lincoln,Goldenrod
896,Audi,Orange
897,Subaru,Fuscia
898,Chrysler,Blue
899,Mercury,Khaki
900,Hyundai,Turquoise
901,Audi,Aquamarine
902,Ford,Turquoise
903,Ford,Puce
904,Holden,Goldenrod
905,Suzuki,Yellow
906,Buick,Red
907,Chevrolet,Violet
908,Subaru,Orange
909,Chevrolet,Blue
910,Mercury,Purple
911,Pontiac,Blue
912,Mercedes-Benz,Puce
913,Pontiac,Yellow
914,Ford,Puce
915,Infiniti,Aquamarine
916,Honda,Crimson
917,Infiniti,Violet
918,Volkswagen,Purple
919,Hyundai,Goldenrod
920,Scion,Goldenrod
921,Mazda,Indigo
922,Mazda,Maroon
923,Suzuki,Blue
924,Toyota,Mauv
925,Ford,Blue
926,Chrysler,Crimson
927,Chrysler,Khaki
928,Toyota,Teal
929,Chevrolet,Goldenrod
930,Mazda,Indigo
931,Honda,Crimson
932,Chevrolet,Pink
933,Volkswagen,Maroon
934,Lexus,Puce
935,Kia,Puce
936,GMC,Purple
937,Ford,Goldenrod
938,Lexus,Purple
939,Daewoo,Violet
940,Ford,Khaki
941,Ford,Pink
942,Volkswagen,Turquoise
943,Chevrolet,Violet
944,GMC,Goldenrod
945,Nissan,Crimson
946,Lincoln,Maroon
947,Volkswagen,Puce
948,Audi,Red
949,Chevrolet,Teal
950,Chrysler,Goldenrod
951,Honda,Indigo
952,Toyota,Aquamarine
953,Plymouth,Green
954,Chevrolet,Blue
955,Aston Martin,Orange
956,Bentley,Turquoise
957,Saturn,Pink
958,Plymouth,Khaki
959,Chevrolet,Crimson
960,Acura,Goldenrod
961,Audi,Indigo
962,Chevrolet,Goldenrod
963,Jaguar,Yellow
964,Acura,Blue
965,Dodge,Indigo
966,Chevrolet,Pink
967,GMC,Purple
968,Toyota,Khaki
969,Maserati,Pink
970,BMW,Yellow
971,Chevrolet,Puce
972,Mazda,Green
973,Ford,Red
974,Dodge,Red
975,Mercedes-Benz,Maroon
976,Suzuki,Turquoise
977,GMC,Yellow
978,Buick,Puce
979,Mazda,Maroon
980,Dodge,Puce
981,Mercedes-Benz,Green
982,Mercedes-Benz,Fuscia
983,BMW,Crimson
984,Audi,Indigo
985,Audi,Goldenrod
986,Hyundai,Green
987,Chevrolet,Green
988,Volkswagen,Yellow
989,Chevrolet,Violet
990,Cadillac,Pink
991,Mitsubishi,Maroon
992,Saab,Aquamarine
993,Dodge,Fuscia
994,Chrysler,Violet
995,Chrysler,Fuscia
996,Saab,Aquamarine
997,Dodge,Red
998,Lincoln,Red
999,Buick,Aquamarine
1000,Subaru,Teal
